accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR33938007	SRP591378	new	PRJNA1274439	SAMN48984037	MTN001-v1-stool	MTN001-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN001-v1-stool_S158_L001_R1_001.fastq.gz	MTN001-v1-stool_S158_L001_R2_001.fastq.gz				
SRR33938006	SRP591378	new	PRJNA1274439	SAMN48984038	MTN004-v1-stool	MTN004-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN004-v1-stool_S54_L001_R1_001.fastq.gz	MTN004-v1-stool_S54_L001_R2_001.fastq.gz				
SRR33937979	SRP591378	new	PRJNA1274439	SAMN48984039	MTN005-v1-stool	MTN005-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN005-v1-stool_S2_L001_R1_001.fastq.gz	MTN005-v1-stool_S2_L001_R2_001.fastq.gz				
SRR33937701	SRP591378	new	PRJNA1274439	SAMN48984040	MTN006-v1-stool	MTN006-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN006-v1-stool_S78_L001_R1_001.fastq.gz	MTN006-v1-stool_S78_L001_R2_001.fastq.gz				
SRR33937851	SRP591378	new	PRJNA1274439	SAMN48984041	MTN007-v1-stool	MTN007-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN007-v1-stool_S125_L001_R1_001.fastq.gz	MTN007-v1-stool_S125_L001_R2_001.fastq.gz				
SRR33937840	SRP591378	new	PRJNA1274439	SAMN48984042	MTN008-v1-stool	MTN008-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN008-v1-stool_S156_L001_R1_001.fastq.gz	MTN008-v1-stool_S156_L001_R2_001.fastq.gz				
SRR33937773	SRP591378	new	PRJNA1274439	SAMN48984043	MTN009-v1-stool	MTN009-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN009-v1-stool_S35_L001_R1_001.fastq.gz	MTN009-v1-stool_S35_L001_R2_001.fastq.gz				
SRR33937762	SRP591378	new	PRJNA1274439	SAMN48984044	MTN010-v1-stool	MTN010-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN010-v1-stool_S169_L001_R1_001.fastq.gz	MTN010-v1-stool_S169_L001_R2_001.fastq.gz				
SRR33937696	SRP591378	new	PRJNA1274439	SAMN48984045	MTN011-v1-stool	MTN011-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN011-v1-stool_S52_L001_R1_001.fastq.gz	MTN011-v1-stool_S52_L001_R2_001.fastq.gz				
SRR33937685	SRP591378	new	PRJNA1274439	SAMN48984046	MTN012-v1-stool	MTN012-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN012-v1-stool_S47_L001_R1_001.fastq.gz	MTN012-v1-stool_S47_L001_R2_001.fastq.gz				
SRR33938005	SRP591378	new	PRJNA1274439	SAMN48984047	MTN013-v1-stool	MTN013-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN013-v1-stool_S105_L001_R1_001.fastq.gz	MTN013-v1-stool_S105_L001_R2_001.fastq.gz				
SRR33937994	SRP591378	new	PRJNA1274439	SAMN48984048	MTN014-v1-stool	MTN014-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN014-v1-stool_S14_L001_R1_001.fastq.gz	MTN014-v1-stool_S14_L001_R2_001.fastq.gz				
SRR33937983	SRP591378	new	PRJNA1274439	SAMN48984049	MTN016-v1-stool	MTN016-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN016-v1-stool_S32_L001_R1_001.fastq.gz	MTN016-v1-stool_S32_L001_R2_001.fastq.gz				
SRR33937916	SRP591378	new	PRJNA1274439	SAMN48984050	MTN019-v1-stool	MTN019-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN019-v1-stool_S114_L001_R1_001.fastq.gz	MTN019-v1-stool_S114_L001_R2_001.fastq.gz				
SRR33937905	SRP591378	new	PRJNA1274439	SAMN48984051	MTN021-v1-stool	MTN021-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN021-v1-stool_S138_L001_R1_001.fastq.gz	MTN021-v1-stool_S138_L001_R2_001.fastq.gz				
SRR33937838	SRP591378	new	PRJNA1274439	SAMN48984052	MTN022-v1-stool	MTN022-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN022-v1-stool_S81_L001_R1_001.fastq.gz	MTN022-v1-stool_S81_L001_R2_001.fastq.gz				
SRR33937827	SRP591378	new	PRJNA1274439	SAMN48984053	MTN023-v1-stool	MTN023-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN023-v1-stool_S114_L001_R1_001.fastq.gz	MTN023-v1-stool_S114_L001_R2_001.fastq.gz				
SRR33937816	SRP591378	new	PRJNA1274439	SAMN48984054	MTN024-v1-stool	MTN024-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN024-v1-stool_S30_L001_R1_001.fastq.gz	MTN024-v1-stool_S30_L001_R2_001.fastq.gz				
SRR33937749	SRP591378	new	PRJNA1274439	SAMN48984055	MTN025-v1-stool	MTN025-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN025-v1-stool_S190_L001_R1_001.fastq.gz	MTN025-v1-stool_S190_L001_R2_001.fastq.gz				
SRR33937738	SRP591378	new	PRJNA1274439	SAMN48984056	MTN027-v1-stool	MTN027-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN027-v1-stool_S39_L001_R1_001.fastq.gz	MTN027-v1-stool_S39_L001_R2_001.fastq.gz				
SRR33937978	SRP591378	new	PRJNA1274439	SAMN48984057	MTN028-v1-stool	MTN028-v1-stool	16S human gut metagenome	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	The V4 region of the bacterial 16S rRNA gene was amplified in duplicate reactions, using primer set 515F/806R	fastq	MTN028-v1-stool_S27_L001_R1_001.fastq.gz	MTN028-v1-stool_S27_L001_R2_001.fastq.gz				
