accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR36466506	SRP591378	new	PRJNA1274439	SAMN54133620	MTN112	MTN112	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			MTN112_nonhost.fastq.gz							
SRR36466505	SRP591378	new	PRJNA1274439	SAMN54133621	PFND073	PFND073	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND073_nonhost.fastq.gz							
SRR36466503	SRP591378	new	PRJNA1274439	SAMN54133622	PFND110	PFND110	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND110_nonhost.fastq.gz							
SRR36466502	SRP591378	new	PRJNA1274439	SAMN54133623	PFND111	PFND111	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND111_nonhost.fastq.gz							
SRR36466501	SRP591378	new	PRJNA1274439	SAMN54133624	PFND164	PFND164	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND164-amplified_nonhost.fastq.gz							
SRR36466500	SRP591378	new	PRJNA1274439	SAMN54133625	PFND185	PFND185	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND185_nonhost.fastq.gz							
SRR36466499	SRP591378	new	PRJNA1274439	SAMN54133626	PFND208	PFND208	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND208_nonhost.fastq.gz							
SRR36466498	SRP591378	new	PRJNA1274439	SAMN54133627	PFND227	PFND227	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND227_nonhost.fastq.gz							
SRR36466497	SRP591378	new	PRJNA1274439	SAMN54133628	PFND233	PFND233	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND233_nonhost.fastq.gz							
SRR36466496	SRP591378	new	PRJNA1274439	SAMN54133629	PFND283	PFND283	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND283_nonhost.fastq.gz							
SRR36466504	SRP591378	new	PRJNA1274439	SAMN54133630	PFND429	PFND429	16S human gut metagenome	WGS	METAGENOMIC	size fractionation	single	PACBIO_SMRT	Sequel IIe	Genomic DNA amplified with PacBio Ampli-fi system. Prepared and ran according to manufacturer's instructions.	fastq			PFND429_nonhost.fastq							
