	Bacteroides	Streptococcus	Parabacteroides	Blautia	Coprococcus	Phocaeicola	Bifidobacterium	Mediterraneibacter	Eggerthella	Collinsella	Roseburia	Alistipes	Odoribacter	Megasphaera	Dysosmobacter	Ruminococcus	Oscillibacter	Ruthenibacterium	Anaerobutyricum	Faecalibacterium	Lachnoclostridium	Lactobacillus	Flavonifractor	Clostridium	Enterocloster	Barnesiella	Anaerostipes	Lachnospira	Enterococcus	Flintibacter	Faecalitalea	Clostridioides	Vescimonas	Desulfovibrio	Thomasclavelia	Lacrimispora	Romboutsia	Gordonibacter	Intestinimonas	Dialister	Pusillibacter	Massilistercora	Otoolea	Hungatella	Butyricimonas	Porphyromonas	Solibaculum	Caldibacillus	Desulfobulbus	Dichelobacter	Olsenella	Turicibacter	Paraclostridium	Segatella	Faecalicatena	Longibaculum	Adlercreutzia	Christensenella	Catenibacterium	Atopobium	Haemophilus	Veillonella	Lacticaseibacillus	Phascolarctobacterium	Rothia	Achromobacter	Fusobacterium	Limosilactobacillus	Gemella	Akkermansia	Lactococcus	Chryseobacterium	Blastocystis	Sutterella	Paraprevotella	Weissella	Eubacterium	Novisyntrophococcus	Anaerotignum	Faecalibacillus	Granulicatella	Amedibacterium	Intestinibaculum	Taranisvirus	Klebsiella	Methanobrevibacter	Escherichia	Cohcovirus	Schaalia	Mogibacterium	Duodenibacillus	Longicatena	Filifactor	Prevotella	Ceduovirus	Ligilactobacillus	Citrobacter	Cellulosilyticum	Mageeibacillus	Muribaculum	Duncaniella	Enterobacter	Pseudobutyrivibrio	Carjivirus	Emergencia	Brigitvirus	Fretibacterium	Pseudocoprococcus	Allocoprococcus	Butyrivibrio	Candidatus Formimonas	Nitratidesulfovibrio	Ruminiclostridium	Shigella	Megamonas	Selenomonas	Coprobacter	Oxalobacter	Aminipila	Spiroplasma	Acidaminococcus	Crabavirus	Anaerocolumna	Candidatus Lachnocurva	Lactiplantibacillus	Desulfosarcina	Murdochiella	Oengusvirus	Caproiciproducens	Acutalibacter	Acholeplasma	Caproicibacterium	Paenibacillus	Thermophilibacter
MTN112	368	129	126	90	74	62	61	57	46	43	34	28	23	22	19	15	15	13	11	10	10	10	8	7	7	7	6	6	5	5	5	4	3	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND073	0	35	3	161	40	1	87	13	2	55	2	0	0	0	0	6	0	0	138	3	3	0	0	4	1	0	130	1	1	0	0	1	3	1	0	0	10	0	0	2	1	0	0	0	0	0	0	0	0	0	32	28	3	3	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND110	17	176	0	25	20	0	55	8	1	0	9	18	0	0	2	0	0	1	37	6	2	0	17	25	2	0	8	20	0	8	0	0	0	0	36	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	106	71	54	21	14	13	12	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND111	324	180	146	120	126	131	65	57	2	0	14	19	25	0	11	9	3	4	50	59	7	50	2	8	3	19	125	20	0	0	4	0	3	0	1	1	1	1	0	41	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1	0	0	0	0	65	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND164_amplified	627	216	161	236	94	39	0	8	1	48	65	94	41	0	2	14	1	4	80	214	6	0	3	39	1	2	50	29	2	0	1	6	12	0	2	1	3	0	0	0	1	2	2	0	37	0	0	0	0	0	0	5	1	0	3	2	16	1	0	0	1	13	0	9	0	0	0	0	1	60	1	0	87	21	18	9	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND185	700	85	102	112	173	9	76	54	1	82	51	100	55	0	4	15	1	1	62	153	2	2	0	7	0	2	20	8	2	3	1	1	4	0	0	1	0	0	0	0	1	2	1	0	19	3	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	59	0	16	0	0	0	3	0	0	0	0	0	50	0	0	0	2	0	0	0	0	0	0	107	24	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND208	660	180	182	87	114	29	6	39	3	45	35	44	11	0	7	12	1	13	119	163	8	1	1	7	3	7	40	25	1	0	4	2	17	19	1	2	0	0	1	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	48	4	0	0	0	0	0	6	0	0	0	21	0	53	0	0	0	5	0	0	1	0	2	1	1	0	0	0	0	43	1	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND227	156	30	24	24	6	83	13	10	0	0	14	6	6	0	0	8	0	0	8	44	0	1	0	15	0	4	4	0	25	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	5	0	0	0	0	0	0	27	49	1	0	0	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND233	294	86	88	17	3	76	0	1	0	3	16	62	11	0	8	2	0	0	20	38	1	0	0	1	2	5	4	7	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	19	6	0	0	0	0	0	0	0	57	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFND283	849	511	146	149	250	411	86	56	3	77	140	130	152	0	4	24	1	10	111	249	8	7	1	81	2	14	38	36	10	0	10	4	33	0	1	3	14	0	1	0	0	0	2	2	3	2	0	0	0	0	0	1	0	1	0	2	1	2	4	0	1	136	0	80	0	0	38	60	0	104	0	0	0	21	12	0	2	0	0	3	0	0	0	0	79	30	20	1	0	0	1	1	1	0	0	12	5	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
