Taxa	MTN112	PFND073	PFND110	PFND111	PFND164_amplified	PFND185	PFND208	PFND227	PFND233	PFND283	PFND429	MTN008	MTN038	MTN044	MTN049	MTN071	MTN076	MTN099	MTN142	MTN167
Acholeplasma brassicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Achromobacter deleyi	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Acutalibacter muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Adlercreutzia equolifaciens	0	0	0	1	1	0	5	0	0	0	5	0	0	0	1	7	0	0	2	1
Adlercreutzia hattorii	0	0	0	1	15	1	30	0	0	0	19	0	0	0	6	22	0	0	27	5
Akkermansia muciniphila	0	0	0	1	60	0	53	0	56	104	0	0	0	0	77	2	3	0	9	2
Alistipes communis	0	0	0	1	6	0	21	1	1	0	1	0	2	0	29	4	6	10	0	2
Alistipes dispar	8	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Alistipes finegoldii	0	0	0	0	8	0	2	0	2	20	32	0	0	24	5	78	6	1	74	13
Alistipes indistinctus	0	0	0	1	1	0	2	0	0	0	1	0	2	0	26	0	0	0	1	11
Alistipes megaguti	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	1	1	0	0	1
Alistipes onderdonkii	18	0	1	10	9	90	8	0	11	77	2	0	55	2	35	5	52	12	1	3
Alistipes senegalensis	0	0	1	0	3	0	4	0	2	1	1	0	0	0	7	15	35	0	0	1
Alistipes shahii	0	0	7	0	42	0	0	4	16	13	1	0	4	0	22	2	32	0	2	5
Alistipes sp. dk3624	0	0	0	0	0	1	2	0	0	0	0	0	0	0	11	16	0	0	0	0
Allocoprococcus comes	0	0	0	0	0	0	0	0	0	0	0	0	26	9	11	8	23	10	1	2
Amedibacterium intestinale	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1
Anaerobutyricum hallii	11	138	37	50	80	62	119	8	20	111	8	0	10	3	24	8	12	14	3	2
Anaerocolumna cellulosilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Anaerocolumna sedimenticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Anaerolineaceae bacterium oral taxon 439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Anaerostipes caccae	0	0	0	3	0	0	1	0	0	2	1	0	0	1	1	0	0	0	2	0
Anaerostipes hadrus	5	130	8	122	50	20	38	4	4	35	6	0	61	2	71	69	65	14	26	6
Anaerostipes rhamnosivorans	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Anaerotignum propionicum	0	0	0	0	1	0	1	0	0	0	0	0	0	4	2	2	0	0	4	4
Atopobium sp. oral taxon 416	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteriophage sp.	7	1	0	10	13	9	8	7	3	20	7	0	4	0	7	8	8	3	6	3
Bacteroides caccae	0	0	0	1	103	90	94	12	69	127	8	0	80	0	3	125	2	0	9	10
Bacteroides caecimuris	1	0	0	1	0	0	0	0	0	1	0	0	2	0	2	2	0	0	1	0
Bacteroides cellulosilyticus	130	0	0	0	6	1	73	42	0	1	4	0	1	0	18	127	14	0	3	133
Bacteroides eggerthii	0	0	0	1	0	0	2	0	0	11	1	0	0	0	0	6	0	0	0	3
Bacteroides faecis	0	0	0	0	2	0	79	0	0	0	0	0	1	0	1	21	1	1	1	0
Bacteroides fragilis	8	0	0	5	8	104	7	5	1	52	7	0	6	5	34	5	4	2	3	8
Bacteroides helcogenes	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	1	3	0	3	1	1	0	1	0	1	0	2	6	28	0	0	8
Bacteroides luhongzhouii	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0
Bacteroides nordii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0
Bacteroides ovatus	5	0	2	98	93	12	6	0	40	137	7	0	18	3	83	42	27	0	14	29
Bacteroides phage LoVEphage	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Bacteroides salyersiae	1	0	0	1	106	71	60	0	1	0	0	0	7	0	2	6	0	0	0	0
Bacteroides sp. A1C1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. CACC 737	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HF-162	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Bacteroides sp. M10	0	0	0	5	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1
Bacteroides stercoris	0	0	0	0	0	0	0	10	0	7	0	0	1	0	0	9	0	0	0	0
Bacteroides thetaiotaomicron	91	0	8	22	5	110	28	24	81	215	12	0	32	7	13	106	87	18	7	166
Bacteroides uniformis	75	0	1	108	89	90	158	33	53	158	16	0	16	1	7	8	64	4	10	40
Bacteroides xylanisolvens	3	0	1	8	86	132	14	4	10	19	12	0	36	2	16	7	28	0	83	122
Barnesiella viscericola	6	0	0	18	2	2	7	4	5	14	0	0	0	0	2	0	0	0	0	0
Bifidobacterium adolescentis	0	72	6	0	0	13	0	0	0	25	0	1	14	0	43	0	0	0	0	44
Bifidobacterium animalis	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	31	0	0	1	0
Bifidobacterium bifidum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0
Bifidobacterium breve	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
Bifidobacterium catenulatum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Bifidobacterium dentium	0	0	0	44	0	4	2	0	0	51	0	0	0	0	0	0	0	0	0	0
Bifidobacterium eulemuris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bifidobacterium longum	54	1	45	16	0	55	3	0	0	3	13	0	54	1	51	0	0	0	11	36
Bifidobacterium pseudocatenulatum	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Bifidobacterium pullorum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium saguini	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastocystis MELD virus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Blastocystis hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
Blastocystis sp. subtype 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Blastocystis sp. subtype 4	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	191	0	0	1
Blautia argi	1	0	0	1	2	2	3	1	0	0	2	0	1	1	4	1	0	1	1	1
Blautia hansenii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia liquoris	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Blautia obeum	26	94	8	56	151	67	13	11	5	45	10	0	11	16	95	46	45	5	13	11
Blautia producta	0	1	4	1	0	0	1	0	2	3	0	0	0	5	4	8	2	0	2	1
Blautia pseudococcoides	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1
Blautia sp. SC05B48	7	14	2	12	12	10	9	2	2	21	4	0	7	4	24	8	14	3	5	5
